
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::1]:9200             [::]:0                 LISTENING       16672
  TCP    [::1]:49669            [::]:0                 LISTENING       5380
  TCP    [::1]:56914            [::1]:9000             ESTABLISHED     8208
  UDP    0.0.0.0:53             *:*                                    3560
  UDP    0.0.0.0:123            *:*                                    16976
  UDP    0.0.0.0:500            *:*                                    5188
  UDP    0.0.0.0:4500           *:*                                    5188
  UDP    0.0.0.0:5050           *:*                                    9052
  UDP    0.0.0.0:5353           *:*                                    15732
  UDP    0.0.0.0:5353           *:*                                    15732
  UDP    0.0.0.0:5353           *:*                                    8208
  UDP    0.0.0.0:5353           *:*                                    8208
  UDP    0.0.0.0:5353           *:*                                    2296
  UDP    0.0.0.0:5353           *:*                                    15732
  UDP    0.0.0.0:5353           *:*                                    8208
  UDP    0.0.0.0:5353           *:*                                    15732
  UDP    0.0.0.0:5353           *:*                                    8208
  UDP    0.0.0.0:5353           *:*                                    15732
  UDP    0.0.0.0:5353           *:*                                    8208
  UDP    0.0.0.0:5353           *:*                                    8208
  UDP    0.0.0.0:5353           *:*                                    15732
  UDP    0.0.0.0:5355           *:*                                    2296
  UDP    0.0.0.0:59736          *:*                                    3560
  UDP    0.0.0.0:63768          *:*                                    3560
  UDP    127.0.0.1:1900         *:*                                    9064
  UDP    127.0.0.1:52009        127.0.0.1:52010                        5108
  UDP    127.0.0.1:52010        127.0.0.1:52009                        5108
  UDP    127.0.0.1:52011        127.0.0.1:52011                        5372
  UDP    127.0.0.1:58670        *:*                                    9064
  UDP    172.22.144.1:137       *:*                                    4
  UDP    172.22.144.1:138       *:*                                    4
  UDP    172.22.144.1:1900      *:*                                    9064
  UDP    172.22.144.1:58667     *:*                                    9064
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    9064
  UDP    192.168.56.1:58668     *:*                                    9064
  UDP    192.168.151.240:137    *:*                                    4
  UDP    192.168.151.240:138    *:*                                    4
  UDP    192.168.151.240:1900   *:*                                    9064
  UDP    192.168.151.240:58669  *:*                                    9064
  UDP    [::]:123               *:*                                    16976
  UDP    [::]:500               *:*                                    5188
  UDP    [::]:4500              *:*                                    5188
  UDP    [::]:5353              *:*                                    8208
  UDP    [::]:5353              *:*                                    8208
  UDP    [::]:5353              *:*                                    2296
  UDP    [::]:5353              *:*                                    15732
  UDP    [::]:5353              *:*                                    15732
  UDP    [::]:5353              *:*                                    15732
  UDP    [::]:5353              *:*                                    8208
  UDP    [::]:5355              *:*                                    2296
  UDP    [::]:63769             *:*                                    3560
  UDP    [::1]:1900             *:*                                    9064
  UDP    [::1]:58666            *:*                                    9064
  UDP    [fe80::d10:ef5f:dd6:a616%65]:1900  *:*                                    9064
  UDP    [fe80::d10:ef5f:dd6:a616%65]:58663  *:*                                    9064
  UDP    [fe80::80ff:d2b2:43c9:19fd%5]:1900  *:*                                    9064
  UDP    [fe80::80ff:d2b2:43c9:19fd%5]:58665  *:*                                    9064
  UDP    [fe80::872f:3fd2:7548:ccb9%17]:1900  *:*                                    9064
  UDP    [fe80::872f:3fd2:7548:ccb9%17]:58664  *:*                                    9064
